Index	Segment
1	Frontal_Lobe
2	Parietal_Lobe
3	Temporal_Lobe
4	Occipital_Lobe
5	Telencephalon
6	Diencephalon
7	Mesencephalon
8	Metencephalon
9	Myelencephalon
10	White_Matter_Tracts
